latitude,longitude,acq_date,brightness,frp,confidence
-29.5771,152.3052,2019-11-07,326.9,15.8,61
-13.7675,134.399,2019-07-09,321.2,47.1,66
-12.3657,141.9085,2019-06-25,305.0,6.8,62
-16.5331,136.2167,2019-11-29,337.8,25.5,81
-35.4473,149.5717,2019-12-01,348.4,54.0,94
-29.9256,152.2099,2019-09-22,352.5,183.7,91
-32.9794,123.6872,2020-01-06,399.3,268.6,100
-12.9457,135.4199,2019-07-24,338.8,33.9,88
-12.9665,130.3491,2019-09-12,329.3,97.6,54
-37.1636,148.0933,2020-01-03,321.1,22.2,49
-12.2919,135.3046,2019-10-21,384.4,205.3,100
-30.06,152.4212,2019-09-14,362.4,174.3,100
-37.3396,149.307,2020-01-13,358.0,76.7,99
-27.6062,128.6092,2019-12-19,364.6,87.1,100
-31.6466,152.2531,2019-11-12,334.9,57.6,100
-32.7861,124.2972,2020-01-08,377.4,199.0,100
-29.5049,152.0962,2019-12-18,304.1,7.9,41
-21.3868,121.4016,2019-12-20,346.0,32.3,75
-36.9576,148.1904,2020-02-04,312.5,13.9,49
-34.0848,149.9659,2019-12-14,307.7,24.2,72
-31.1519,152.0257,2019-11-13,329.2,114.8,69
-16.1574,137.1334,2019-12-05,358.9,413.0,93
-37.5144,147.7555,2019-12-20,466.9,2954.0,100
-31.2853,151.9671,2019-11-20,347.4,102.2,100
-34.8923,150.2202,2019-12-27,335.5,155.9,82
-28.3109,128.4284,2019-09-30,341.6,69.7,86
-12.7611,135.1898,2019-07-14,324.1,20.0,50
-12.641,130.6464,2019-06-07,314.8,11.0,43
-29.732,152.0179,2019-11-09,307.5,10.0,56
-28.3967,122.5652,2019-09-15,319.3,33.1,87
-30.9244,152.0944,2019-10-24,305.0,7.0,39
-28.6461,126.636,2019-10-23,380.7,339.8,100
-12.5097,132.0005,2019-07-17,327.4,50.8,61
-35.9769,147.6951,2019-12-30,336.6,37.9,100
-29.7727,152.2886,2019-11-07,325.0,32.5,100
-29.9944,152.6781,2019-11-08,327.9,126.8,100
-12.7012,135.2141,2019-10-21,361.0,80.4,81
-34.2779,150.485,2019-12-19,319.4,17.3,96
-15.5251,144.4627,2019-12-19,338.2,27.0,85
-13.019,131.0764,2019-06-26,348.5,86.1,94
-32.4728,122.0468,2020-01-07,376.1,115.5,100
-27.1517,153.3829,2019-11-16,312.1,17.8,84
-37.1854,149.9462,2020-01-11,360.0,89.4,100
-31.7016,152.1161,2019-11-19,337.8,31.6,83
-15.3774,142.2995,2019-08-01,304.6,6.6,59
-33.7593,115.2083,2019-06-04,301.3,9.1,46
-15.8113,144.5367,2019-10-06,302.3,3.9,48
-14.1109,131.0413,2019-10-20,338.2,32.2,79
-21.8274,125.9562,2019-10-22,353.4,56.1,95
-35.9297,147.5269,2019-12-31,347.2,68.0,100
-14.0807,127.0194,2019-10-26,334.5,12.9,64
-12.7096,136.4055,2019-09-10,332.9,18.9,64
-19.4798,131.8679,2019-12-20,345.3,167.0,87
-17.4769,123.9332,2019-11-17,348.8,51.7,91
-30.6623,151.3293,2020-03-19,316.2,6.0,62
-31.4759,151.8074,2019-12-04,338.5,92.9,86
-14.15,129.8105,2019-08-30,326.3,38.5,70
-32.9758,150.6914,2019-12-14,344.0,39.4,90
-13.4893,142.8103,2019-06-21,315.9,13.3,37
-16.1488,144.3747,2019-09-02,325.4,25.5,65
-12.9022,141.8106,2019-08-11,324.4,14.9,74
-31.4872,151.9272,2019-11-28,338.5,28.8,85
-18.5734,145.9793,2019-11-30,329.4,34.8,37
